"Description","Price"
"Compare
lenovo C200 (4025-3LU) 18.5" All-in-One PC Intel Atom D525(1.80GHz) 1GB DDR3 250GB HDD Capacity Intel GMA 3150 Windows 7 Home Premium 32-bit
 Intel Atom D525(1.80GHz)...
 1GB DDR3 250GB HDD Capac...
 Intel GMA 3150
was: $449.99
now:
$439.99
$24.99 Shipping","$439.99"
"Compare
ThinkCentre A70 (7099U2U) Desktop PC Pentium E5800(3.20GHz) 2GB DDR3 320GB HDD Capacity Intel GMA X4500 Windows 7 Professional 64-bit
 Pentium E5800(3.20GHz)
 2GB DDR3 320GB HDD Capac...
 Intel GMA X4500
was: $499.99
now:
$444.99
$9.99 Shipping","$444.99"
"Compare
HP Compaq 4000 Pro (LA070UT#ABA) Desktop PC Pentium E5800(3.20GHz) 2GB DDR3 250GB HDD Capacity Intel GMA 4500 Windows 7 Professional 32-bit
 Pentium E5800(3.20GHz)
 2GB DDR3 250GB HDD Capac...
 Intel GMA 4500
was: $499.99
now:
$449.99
$9.99 Shipping","$449.99"
"  (14)
Compare
CyberpowerPC Gamer Ultra 2082 Desktop PC Athlon II X2 260(3.2GHz) 4GB DDR3 1TB HDD Capacity AMD Radeon HD 6450 (1 GB) Windows 7 Home Premium 64-bit
 Athlon II X2 260(3.2GHz)...
 4GB DDR3 1TB HDD Capacit...
 AMD Radeon HD 6450 (1 GB...
was: $499.99
now:
$449.99
Free Shipping","$449.99"
"Compare
ThinkCentre M58E (7408X02) Desktop PC Core 2 Quad Q9500(2.83GHz) 2GB 160GB HDD Capacity Intel GMA 4500MHD Windows 7 Professional 32-Bit
 Core 2 Quad Q9500(2.83GH...
 2GB 160GB HDD Capacity
 Intel GMA 4500MHD
was: $499.99
now:
$449.99
$14.99 Shipping","$449.99"
"Compare
ThinkCentre A70 (7844P8U) Desktop PC Pentium E5800(3.20GHz) 4GB DDR3 320GB HDD Capacity Intel GMA X4500 Windows 7 Professional 64-bit
 Pentium E5800(3.20GHz)
 4GB DDR3 320GB HDD Capac...
 Intel GMA X4500
was: $499.99
now:
$449.99
$9.99 Shipping","$449.99"
"  (10)
Compare
CyberpowerPC Gamer Ultra 2084 Desktop PC Athlon II X2 260(3.2GHz) 4GB DDR3 1TB HDD Capacity NVIDIA GeForce GT 520 (1 GB) Windows 7 Home Premium 64-bit
 Athlon II X2 260(3.2GHz)...
 4GB DDR3 1TB HDD Capacit...
 NVIDIA GeForce GT 520 (1...
was: $549.99
now:
$449.99
$19.99 Shipping","$449.99"
"Compare
HP 500B (VS877UT#ABA) Desktop PC Pentium dual-core E6700(3.20GHz) 2GB DDR3 160GB HDD Capacity Intel GMA 4500 Windows 7 Professional 32-bit
 Pentium dual-core ...
 2GB DDR3 160GB HDD Capac...
 Intel GMA 4500
was: $549.99
now:
$449.99
$9.99 Shipping","$449.99"
"Compare
HP Compaq 4000 Pro (LA071UT#ABA) Desktop PC Pentium E6700(3.20GHz) 2GB DDR3 250GB HDD Capacity Intel GMA 4500 Windows 7 Professional 32-bit
 Pentium E6700(3.20GHz)
 2GB DDR3 250GB HDD Capac...
 Intel GMA 4500
was: $499.99
now:
$449.99
$9.99 Shipping","$449.99"
"Compare
ThinkCentre A70 (7099U1U) Desktop PC Core 2 Duo E7500(2.93GHz) 4GB DDR3 500GB HDD Capacity Intel GMA X4500 Windows 7 Professional 64-bit
 Core 2 Duo E7500(2.93GHz...
 4GB DDR3 500GB HDD Capac...
 Intel GMA X4500
was: $499.99
now:
$469.99
$9.99 Shipping","$469.99"
"Compare
ThinkCentre M70e (0809F2U) Desktop PC Pentium E5800(3.20GHz) 2GB DDR3 320GB HDD Capacity Intel GMA X4500 Windows 7 Professional 64-bit
 Pentium E5800(3.20GHz)
 2GB DDR3 320GB HDD Capac...
 Intel GMA X4500
was: $499.99
now:
$469.99
$12.99 Shipping","$469.99"
"  (1)
Compare
15.6" Touch AIO VGA-out COM-out Win 7 Home Premium
ASUS Eee Top ET1611PUT-B001E 15.6" Desktop PC Intel Atom D425(1.80GHz) 2GB DDR3 250GB HDD Capacity Intel GMA 3150 Windows 7 Home Premium 64-bit
 Intel Atom D425(1.80GHz)...
 2GB DDR3 250GB HDD Capac...
 Intel GMA 3150
was: $502.99
now:
$472.99
Free Shipping","$472.99"
"Compare
Gateway SX2855-UR20P (PT.GCFP2.001) Desktop PC Pentium G620(2.60GHz) 4GB DDR3 1TB HDD Capacity Intel HD Graphics Windows 7 Home Premium 64-bit
 Pentium G620(2.60GHz)
 4GB DDR3 1TB HDD Capacit...
 Intel HD Graphics
was: $489.99
now:
$474.99
Free Shipping","$474.99"
"Compare
HP Compaq 6005 Pro(VS913UT#ABA) Desktop PC Athlon II X2 220(2.80GHz) 2GB DDR3 160GB HDD Capacity ATI Radeon HD 4200 Windows 7 Professional 32-bit
 Athlon II X2 220(2.80GHz...
 2GB DDR3 160GB HDD Capac...
 ATI Radeon HD 4200
was: $599.00
now:
$479.00
$14.99 Shipping","$479.00"
"Compare
lenovo H330 (77801NU) Desktop PC Pentium G620(2.60GHz) 4GB DDR3 1TB HDD Capacity Intel HD Graphics 2000 Windows 7 Home Premium 64-bit
 Pentium G620(2.60GHz)
 4GB DDR3 1TB HDD Capacit...
 Intel HD Graphics 2000
was: $499.99
now:
$479.99
$9.99 Shipping","$479.99"
"Compare
ViewSonic VOT132_BVDBM0 Nettop Intel Atom 330(1.60GHz) 2GB DDR2 320GB HDD Capacity NVIDIA ION graphics Windows 7 Professional
 Intel Atom 330(1.60GHz) ...
 2GB DDR2 320GB HDD Capac...
 NVIDIA ION graphics
was: $599.99
now:
$479.99
$9.99 Shipping","$479.99"
"Compare
ThinkCentre M58 (8910B4U) Desktop PC Pentium E5700(3.00GHz) 2GB DDR3 250GB HDD Capacity Intel GMA 4500 Windows 7 Professional 32-bit
 Pentium E5700(3.00GHz)
 2GB DDR3 250GB HDD Capac...
 Intel GMA 4500
now:
$479.99
$24.99 Shipping","$479.99"
"Compare
COMPAQ Presario CQ1-2025 (BZ653AA#ABA) 20" All-in-One PC AMD Dual-Core Processor E-350(1.6GHz) 2GB DDR3 320GB HDD Capacity AMD Radeon HD 6310 Windows 7 Home Premium 64-bit
 AMD Dual-Core Processor ...
 2GB DDR3 320GB HDD Capac...
 AMD Radeon HD 6310
was: $499.99
now:
$479.99
Free Shipping","$479.99"
"  (5)
Compare
Dual Core ATOM D525, ION2, Slot-In DVDRW, Windows
ASUS Eee Box EB1501P-B016E Nettop Intel Atom D525(1.80GHz) 2GB DDR3 320GB HDD Capacity Next-generation NVIDIA ION graphics Windows 7 Home Premium 64-bit
 Intel Atom D525(1.80GHz)...
 2GB DDR3 320GB HDD Capac...
 Next-generation NVIDIA I...
was: $519.99
now:
$479.99
Free Shipping","$479.99"
"  (1)
Compare
DELL Inspiron 620 (i620-229NBK) Desktop PC Intel Core i3 2100(3.10GHz) 4GB DDR3 1TB HDD Capacity Intel HD Graphics 2000 Windows 7 Home Premium 64-bit
 Intel Core i3 2100(3.10G...
 4GB DDR3 1TB HDD Capacit...
 Intel HD Graphics 2000
was: $529.99
now:
$479.99
Free Shipping","$479.99"
"Compare
lenovo H420 (77521QU) Desktop PC Pentium G620(2.60GHz) 4GB DDR3 1TB HDD Capacity Intel HD Graphics 2000 Windows 7 Home Premium 64-bit
 Pentium G620(2.60GHz)
 4GB DDR3 1TB HDD Capacit...
 Intel HD Graphics 2000
was: $499.99
now:
$479.99
$9.99 Shipping","$479.99"
"Compare
lenovo H405 (77231LU) Desktop PC Athlon II X4 650(3.2GHz) 4GB DDR3 1TB HDD Capacity ATI Radeon 3000 Windows 7 Home Premium 64-bit
 Athlon II X4 650(3.2GHz)...
 4GB DDR3 1TB HDD Capacit...
 ATI Radeon 3000
was: $499.99
now:
$479.99
$9.99 Shipping","$479.99"
"Compare
ThinkCentre M70e (0806E1U) Desktop PC Pentium E5800(3.20GHz) 2GB DDR3 320GB HDD Capacity Intel GMA X4500 Windows 7 Professional 64-bit
 Pentium E5800(3.20GHz)
 2GB DDR3 320GB HDD Capac...
 Intel GMA X4500
was: $499.99
now:
$479.99
$9.99 Shipping","$479.99"
"  (3)
Compare
HP Pavilion p7-1010 (BV703AA#ABA) Desktop PC Athlon II X4 645(3.1GHz) 6GB DDR3 1TB HDD Capacity ATI Radeon HD 4200 Windows 7 Home Premium 64-bit
 Athlon II X4 645(3.1GHz)...
 6GB DDR3 1TB HDD Capacit...
 ATI Radeon HD 4200
was: $499.99
now:
$489.99
Free Shipping","$489.99"
"Compare
COMPAQ CQ1-1225 18.5" Desktop PC Intel Atom D525(1.80GHz) 2GB DDR3 320GB HDD Capacity Intel GMA 3150 Windows 7 Home Premium 64-bit
 Intel Atom D525(1.80GHz)...
 2GB DDR3 320GB HDD Capac...
 Intel GMA 3150
was: $499.99
now:
$494.99
Free Shipping","$494.99"
"Compare
HP Compaq 6000 Pro (VS928UT#ABA) Desktop PC Pentium dual-core E6700(3.20GHz) 2GB DDR3 160GB HDD Capacity Intel GMA X4500HD Windows 7 Professional 32-bit
 Pentium dual-core ...
 2GB DDR3 160GB HDD Capac...
 Intel GMA X4500HD
was: $599.99
now:
$499.99
$9.99 Shipping","$499.99"
"Compare
HP MultiSeat MS6000(BM460AT#ABA) Desktop PC Core 2 Duo E7500(2.93GHz) 2GB DDR3 320GB HDD Capacity Intel GMA 4500 FreeDOS
 Core 2 Duo E7500(2.93GHz...
 2GB DDR3 320GB HDD Capac...
 Intel GMA 4500
now:
$499.99
$22.08 Shipping","$499.99"
"  (8)
Compare
Acer Aspire AM3410-UR22P (PT.SGDP2.004) Desktop PC Phenom II X4 840T(2.9GHz) 4GB DDR3 1TB HDD Capacity AMD Radeon HD 6450 1GB Windows 7 Home Premium 64-bit
 Phenom II X4 840T(2.9GHz...
 4GB DDR3 1TB HDD Capacit...
 AMD Radeon HD 6450 1GB
was: $549.99
now:
$499.99
Free Shipping","$499.99"
"  (16)
Compare
iBUYPOWER Gamer Power 578D3 Desktop PC Phenom II X4 955(3.2GHz) 4GB DDR3 1TB HDD Capacity NVIDIA GeForce GT 520 (1 GB) Windows 7 Home Premium 64-bit
 Phenom II X4 955(3.2GHz)...
 4GB DDR3 1TB HDD Capacit...
 NVIDIA GeForce GT 520 (1...
was: $599.99
now:
$499.99
$9.99 Shipping","$499.99"
"  (2)
Compare
lenovo IdeaCentre H405 (7723-1CU) Desktop PC Athlon II X4 645(3.1GHz) 4GB DDR3 1TB HDD Capacity ATI Radeon 3000 graphics Windows 7 Home Premium 64 bit
 Athlon II X4 645(3.1GHz)...
 4GB DDR3 1TB HDD Capacit...
 ATI Radeon 3000 graphics...
now:
$499.99
Free Shipping","$499.99"
"  (1)
Compare
ThinkCentre A70 (7844P7U) Desktop PC Core 2 Duo E7500(2.93GHz) 4GB DDR3 500GB HDD Capacity Intel GMA X4500 Windows 7 Professional 64-bit
 Core 2 Duo E7500(2.93GHz...
 4GB DDR3 500GB HDD Capac...
 Intel GMA X4500
was: $599.99
now:
$499.99
$9.99 Shipping","$499.99"
